Repeat,RepeatModeler Classification,Class,Sub-Class,Super-Family,Notes
rnd-1_family-103,DNA,C(),SC(H-> dna transposon),SF(),-
rnd-1_family-75,Unknown,C(),SC(H-> dna transposon),SF(),-
rnd-1_family-17,DNA/TcMar-Pogo,C(),SC(H-> dna transposon),SF(),-
rnd-1_family-87,DNA/PiggyBac,C(),SC(H-> dna transposon),SF(H-> piggybac),-
rnd-1_family-24,DNA/TcMar-Pogo,C(),SC(H-> dna transposon),SF(),-
rnd-1_family-169,DNA/TcMar-ISRm11,C(),SC(H-> dna transposon),SF(),-
rnd-1_family-211,LTR/DIRS,C(),SC(H-> non-ltr retrotransposon),SF(H-> sine),-
rnd-1_family-161,DNA,C(),SC(H-> dna transposon),SF(),-
rnd-1_family-250,DNA/Academ,C(T-> i),SC(H-> dna transposon T-> ltr retrotransposon),SF(T-> ty3/gypsy ty1/copia retroviral),TSD consensus length is 5.
rnd-1_family-72,SINE/MIR,C(),SC(H-> non-ltr retrotransposon),SF(H-> sine),-
rnd-1_family-219,LINE/L2,C(),SC(H-> non-ltr retrotransposon),SF(),-
rnd-1_family-162,DNA/Crypton,C(),SC(H-> dna transposon),SF(),-
rnd-1_family-135,DNA/PiggyBac,C(),SC(H-> dna transposon),SF(H-> piggybac),-
rnd-1_family-91,DNA/PiggyBac,C(),SC(H-> dna transposon),SF(),-
rnd-1_family-44,SINE/MIR,C(),SC(H-> non-ltr retrotransposon),SF(H-> sine),-
rnd-1_family-264,DNA/TcMar,C(),SC(H-> dna transposon),SF(),-
rnd-1_family-196,DNA,C(),SC(H-> dna transposon),SF(),-
rnd-1_family-88,DNA/PiggyBac,C(),SC(H-> dna transposon),SF(H-> piggybac),-
rnd-1_family-112,DNA/hAT-Ac,C(),SC(H-> helitron),SF(),-
rnd-1_family-258,Unknown,C(T-> ii),SC(T-> dna transposon),SF(),TSD consensus length is 2.
rnd-1_family-173,DNA/TcMar,C(),SC(H-> dna transposon),SF(),-
rnd-1_family-48,SINE/MIR,C(),SC(H-> non-ltr retrotransposon),SF(H-> sine),-
rnd-1_family-207,LTR/DIRS,C(T-> ii),SC(H-> dna transposon T-> dna transposon),SF(),TSD consensus length is 2.
rnd-1_family-239,LTR/Gypsy,C(T-> ii),SC(T-> dna transposon),SF(T-> is256/mutator/fb),TSD consensus length is 9.
rnd-1_family-208,SINE/MIR,C(),SC(H-> non-ltr retrotransposon),SF(H-> sine),-
rnd-1_family-11,DNA/TcMar,C(),SC(H-> dna transposon),SF(),-
rnd-1_family-159,SINE/MIR,C(),SC(H-> non-ltr retrotransposon),SF(H-> sine),-
rnd-1_family-110,SINE/MIR,C(),SC(H-> non-ltr retrotransposon),SF(H-> sine),-
rnd-1_family-145,SINE/MIR,C(),SC(H-> non-ltr retrotransposon),SF(H-> sine),-
rnd-1_family-166,LTR/Gypsy,C(),SC(H-> ltr retrotransposon),SF(),-
rnd-1_family-65,DNA/PiggyBac,C(),SC(H-> dna transposon),SF(H-> piggybac),-
rnd-1_family-225,LINE/L2,C(),SC(H-> non-ltr retrotransposon),SF(),-
rnd-1_family-233,DNA/PIF-Harbinger,C(T-> i),SC(H-> dna transposon T-> non-ltr retrotransposon penelope),SF(T-> line/sine),No TSD consensus. Maximum TSD length is 7.
rnd-1_family-251,SINE/MIR,C(),SC(H-> non-ltr retrotransposon),SF(H-> sine),-
rnd-1_family-63,SINE/MIR,C(),SC(H-> non-ltr retrotransposon),SF(H-> sine),-
rnd-1_family-175,RC/Helitron,C(),SC(H-> helitron),SF(),-
rnd-1_family-181,DNA,C(),SC(H-> dna transposon),SF(),-
rnd-1_family-222,LINE/L2,C(),SC(H-> non-ltr retrotransposon),SF(),-
