Repeat,RepeatModeler Classification,Class,Sub-Class,Super-Family,Notes
[rnd-1_family-196,DNA,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 40.]
[rnd-1_family-250,DNA/TcMar-Pogo,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 22.]
[rnd-1_family-170,LTR/Gypsy,C(S_TIR-> ii T-> ii),SC(S_TIR-> dna transposon T-> dna transposon),SF(T-> hat p is1016/merlin),TSD consensus length is 8.TIR consensus length is 23.]
[rnd-1_family-12,LINE/CR1,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 283.]
[rnd-1_family-79,DNA/TcMar-Tc1,C(),SC(H-> dna transposon),SF(),-]
[rnd-1_family-351,Unknown,C(T-> ii),SC(T-> helitron),SF(),No TSD consensus. Maximum TSD length is 10.]
[rnd-1_family-301,DNA,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 39.]
[rnd-1_family-162,DNA/PiggyBac,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 40.]
[rnd-1_family-134,RC/Helitron,C(S_LTR-> i),SC(S_LTR-> Short Terminal Repeat),SF(),Terminal Repeat consensus length is 86.]
[rnd-1_family-128,DNA,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 47.]
[rnd-1_family-317,RC/Helitron,C(),SC(H-> helitron),SF(),-]
[rnd-1_family-298,LTR/Gypsy,C(),SC(H-> dna transposon),SF(),-]
[rnd-1_family-293,LTR/Gypsy,C(T-> ii),SC(T-> helitron),SF(),Palindrome length is 14.]
[rnd-1_family-182,SINE/tRNA,C(),SC(H-> non-ltr retrotransposon),SF(H-> sine),-]
[rnd-1_family-21,LTR/Gypsy,C(),SC(H-> dna transposon),SF(),-]
[rnd-1_family-98,DNA,C(T-> ii),SC(T-> dna transposon),SF(T-> hat p is1016/merlin),TSD consensus length is 8.]
[rnd-1_family-323,RC/Helitron,C(S_LTR-> i),SC(S_LTR-> ltr retrotransposon),SF(),Terminal Repeat consensus length is 101.]
[rnd-1_family-66,DNA,C(T-> i),SC(T-> ltr retrotransposon),SF(T-> ty3/gypsy ty1/copia retroviral),TSD consensus length is 5.]
[rnd-1_family-169,DNA/TcMar-Pogo,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 29.]
[rnd-1_family-402,Unknown,C(T-> i S_LTR-> i),SC(T-> ltr retrotransposon S_LTR-> Short Terminal Repeat),SF(T-> ty3/gypsy ty1/copia retroviral),No TSD consensus. Maximum TSD length is 5.Terminal Repeat consensus length is 8.]
[rnd-1_family-369,LINE/R2-NeSL,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 100.]
[rnd-1_family-404,LTR/ERV1,C(T-> ii),SC(T-> dna transposon),SF(),TSD consensus length is 2.]
[rnd-1_family-161,Unknown,C(T-> ii),SC(T-> dna transposon),SF(),TSD consensus length is 2.]
[rnd-1_family-294,LTR/Copia,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 73.]
